Precinct,Reporting Status,Steve Schewel,%Steve Schewel,Farad Ali,%Farad Ali,Write-In (Miscellaneous),Pierce Freelon,Sylvester Williams,Chelli Monroe
1,Final Canvass Results (official),186,71.8%,73,28.2%,0,0,0,0
2,Final Canvass Results (official),402,82.2%,87,17.8%,1,0,0,0
3,Final Canvass Results (official),455,90.3%,49,9.7%,2,1,0,0
4,Final Canvass Results (official),546,88.9%,68,11.1%,2,2,0,0
5,Final Canvass Results (official),112,58.0%,81,42.0%,0,0,0,0
6,Final Canvass Results (official),420,85.4%,72,14.6%,0,1,0,0
7,Final Canvass Results (official),370,83.0%,76,17.0%,0,0,0,0
8,Final Canvass Results (official),334,71.7%,132,28.3%,0,0,0,0
9,Final Canvass Results (official),545,70.3%,230,29.7%,0,0,0,0
10,Final Canvass Results (official),86,47.3%,96,52.7%,0,1,0,0
12,Final Canvass Results (official),28,28.3%,71,71.7%,0,0,0,0
13,Final Canvass Results (official),14,18.2%,63,81.8%,0,0,0,0
14,Final Canvass Results (official),59,33.3%,118,66.7%,2,1,0,0
15,Final Canvass Results (official),53,41.7%,74,58.3%,3,0,0,0
16,Final Canvass Results (official),275,69.4%,121,30.6%,3,0,0,0
17,Final Canvass Results (official),204,61.4%,128,38.6%,0,4,0,0
18,Final Canvass Results (official),48,26.8%,131,73.2%,0,0,0,0
19,Final Canvass Results (official),309,54.5%,258,45.5%,4,0,0,0
20,Final Canvass Results (official),476,87.7%,67,12.3%,8,0,0,0
21,Final Canvass Results (official),421,83.0%,86,17.0%,0,0,0,0
22,Final Canvass Results (official),178,40.5%,261,59.5%,2,1,0,0
23,Final Canvass Results (official),266,37.3%,448,62.7%,0,1,0,1
24,Final Canvass Results (official),476,69.4%,210,30.6%,2,0,0,0
25,Final Canvass Results (official),27,54.0%,23,46.0%,0,0,0,0
27,Final Canvass Results (official),93,64.1%,52,35.9%,0,0,0,0
28,Final Canvass Results (official),96,52.7%,86,47.3%,0,0,1,0
29,Final Canvass Results (official),56,22.8%,190,77.2%,0,1,0,1
30-1,Final Canvass Results (official),321,33.2%,645,66.8%,0,0,0,0
30-2,Final Canvass Results (official),161,21.4%,590,78.6%,4,0,0,0
31,Final Canvass Results (official),197,43.2%,259,56.8%,0,2,1,0
32,Final Canvass Results (official),114,67.5%,55,32.5%,0,0,0,0
33,Final Canvass Results (official),193,37.9%,316,62.1%,1,2,0,0
34-1,Final Canvass Results (official),169,33.9%,329,66.1%,0,2,0,0
34-2,Final Canvass Results (official),234,34.5%,444,65.5%,3,0,0,0
35.3,Final Canvass Results (official),558,51.7%,521,48.3%,2,0,0,0
36,Final Canvass Results (official),352,71.7%,139,28.3%,3,0,0,0
37,Final Canvass Results (official),773,76.2%,241,23.8%,1,0,0,0
38,Final Canvass Results (official),495,65.5%,261,34.5%,2,0,0,0
39,Final Canvass Results (official),555,55.8%,440,44.2%,1,1,0,0
40,Final Canvass Results (official),396,79.7%,101,20.3%,0,1,0,0
41,Final Canvass Results (official),45,14.5%,266,85.5%,0,0,0,0
42,Final Canvass Results (official),33,14.4%,196,85.6%,0,0,3,0
43,Final Canvass Results (official),869,78.9%,232,21.1%,1,0,0,0
44,Final Canvass Results (official),102,39.2%,158,60.8%,0,0,0,2
45,Final Canvass Results (official),381,65.8%,198,34.2%,3,0,0,0
46,Final Canvass Results (official),225,58.3%,161,41.7%,0,0,0,0
47,Final Canvass Results (official),77,24.1%,243,75.9%,1,0,1,0
48,Final Canvass Results (official),218,52.4%,198,47.6%,1,0,0,0
50,Final Canvass Results (official),578,76.0%,183,24.0%,3,0,0,0
51,Final Canvass Results (official),674,69.3%,299,30.7%,2,3,0,0
52,Final Canvass Results (official),100,27.2%,267,72.8%,0,1,0,0
53-1,Final Canvass Results (official),253,64.1%,142,35.9%,1,0,0,0
53-2,Final Canvass Results (official),331,75.1%,110,24.9%,0,0,0,0
54,Final Canvass Results (official),347,52.1%,319,47.9%,0,1,0,0
55-11,Final Canvass Results (official),52,20.8%,198,79.2%,1,3,0,0
55-49,Final Canvass Results (official),15,19.7%,61,80.3%,0,0,0,0
ABSENTEE,,36,72.0%,14,28.0%,0,0,0,0
OS DBOE,,"2,569",73.6%,922,26.4%,7,6,0,0
OS NCCU,,257,38.6%,408,61.4%,0,2,1,0
OS NORL,,"1,065",63.3%,617,36.7%,1,2,0,0
OS SOUTH,,"2,008",58.0%,"1,456",42.0%,1,1,1,0
PROVISIONAL,,74,40.0%,111,60.0%,0,0,0,1
TRANSFER,,0,#DIV/0!,0,#DIV/0!,0,0,0,0